 ,C2Opt,CGP-LCB,SINDYc,True
Number of iterations,43,22,23,5
Average compute time per iteration,0.05363819765490155,0.6109491369941018,0.8804479474606721,0.0030937671661376955
Maximum compute time per iteration,0.11142873764038086,1.0123393535614014,1.1628012657165527,0.003960132598876953
Total compute time (all iterations),2.3064424991607666,13.44088101387024,20.25030279159546,0.015468835830688477
