 ,C2Opt,CGP-LCB,SINDYc,True
Number of iterations,75,107,1,7
Average compute time per iteration,0.07420013109842936,2.361650645175827,inf,0.0016274452209472656
Maximum compute time per iteration,0.17517685890197754,9.29631757736206,inf,0.0021593570709228516
Total compute time (all iterations),5.565009832382202,252.69661903381348,inf,0.01139211654663086
